time_s,baseline_g,auto_g,saved_g,saved_pct,alpha
1386000.0,2381.01,591.74,1789.26,75.15,0.1
1389600.0,3273.45,2238.25,1035.2,31.62,0.6
1393200.0,1647.51,1017.14,630.37,38.26,0.6
1396800.0,1459.78,982.43,477.35,32.7,0.7
1400400.0,4439.21,2751.76,1687.45,38.01,0.4
1404000.0,5005.92,1307.22,3698.7,73.89,0.4
1407600.0,1611.27,600.61,1010.66,62.72,0.5
1411200.0,2030.25,1143.49,886.77,43.68,0.4
1414800.0,1891.28,1366.38,524.89,27.75,0.6
1418400.0,2474.37,1460.06,1014.31,40.99,0.7
1422000.0,1687.54,1133.26,554.29,32.85,0.1
1425600.0,10307.91,5197.46,5110.45,49.58,0.6
1429200.0,1948.95,915.96,1032.99,53.0,0.6
1432800.0,4312.85,1349.07,2963.78,68.72,0.7
1436400.0,2131.45,1130.77,1000.67,46.95,0.4
1440000.0,2262.03,724.5,1537.53,67.97,0.4
1443600.0,7418.37,2907.35,4511.02,60.81,0.5
1447200.0,15473.32,6621.51,8851.8,57.21,0.4
1450800.0,4298.51,2517.52,1780.99,41.43,0.5
1454400.0,2706.18,757.4,1948.78,72.01,0.4
1458000.0,6392.06,3046.84,3345.22,52.33,0.6
1461600.0,1213.77,258.88,954.89,78.67,0.4
1465200.0,1985.32,460.22,1525.1,76.82,0.6
1468800.0,899.4,472.73,426.67,47.44,0.4
1472400.0,2997.2,513.07,2484.13,82.88,0.1
1476000.0,2870.82,1870.91,999.91,34.83,0.5
1479600.0,5553.92,2369.42,3184.5,57.34,0.1
1483200.0,5998.08,2358.37,3639.7,60.68,0.6
1486800.0,4601.38,4496.18,105.2,2.29,0.6
1490400.0,2923.02,968.96,1954.07,66.85,0.7
1494000.0,6255.85,5292.62,963.23,15.4,0.7
1497600.0,3048.25,2994.87,53.38,1.75,0.4
1501200.0,3887.35,2983.22,904.13,23.26,0.4
1504800.0,3505.05,2866.16,638.89,18.23,0.5
1508400.0,326.24,256.01,70.23,21.53,0.6
1512000.0,1858.9,969.79,889.11,47.83,0.6
1515600.0,6983.69,4978.32,2005.36,28.71,0.6
1519200.0,1185.54,933.79,251.75,21.24,0.5
1522800.0,4803.68,1825.71,2977.97,61.99,0.6
1526400.0,2592.59,409.54,2183.05,84.2,0.4
1530000.0,3081.06,859.08,2221.99,72.12,0.6
1533600.0,1653.77,362.17,1291.59,78.1,0.5
1537200.0,12664.08,5641.52,7022.55,55.45,0.4
1540800.0,1591.31,611.26,980.05,61.59,0.6
1544400.0,6741.27,1226.25,5515.02,81.81,0.4
1548000.0,4428.94,865.61,3563.33,80.46,0.4
1551600.0,5360.23,2712.13,2648.1,49.4,0.6
1555200.0,2182.51,830.9,1351.61,61.93,0.5
1558800.0,1105.96,1314.94,-208.98,-18.9,0.5
1562400.0,1413.26,887.67,525.59,37.19,0.1
1566000.0,2168.01,452.99,1715.03,79.11,0.1
1569600.0,3335.83,596.52,2739.31,82.12,0.6
1573200.0,1558.84,748.71,810.13,51.97,0.6
1576800.0,1932.29,1204.52,727.78,37.66,0.4
1580400.0,2260.61,1027.21,1233.4,54.56,0.4
1584000.0,3052.39,2585.18,467.21,15.31,0.1
1587600.0,4943.85,1931.54,3012.31,60.93,0.4
1591200.0,899.04,611.12,287.91,32.02,0.7
1594800.0,2128.28,1715.46,412.83,19.4,0.8
1598400.0,1085.64,970.33,115.31,10.62,0.1
1602000.0,1668.9,1479.11,189.78,11.37,0.7
1605600.0,4813.54,2471.43,2342.11,48.66,0.4
1609200.0,791.58,330.08,461.5,58.3,0.6
1612800.0,2516.57,453.06,2063.5,82.0,0.6
1616400.0,3823.97,1662.21,2161.76,56.53,0.4
1620000.0,6598.0,506.88,6091.12,92.32,0.4
1623600.0,5457.21,2017.02,3440.19,63.04,0.5
1627200.0,4907.49,2264.78,2642.71,53.85,0.6
1630800.0,10829.05,3573.29,7255.76,67.0,0.4
1634400.0,3274.68,720.7,2553.98,77.99,0.9
1638000.0,627.35,225.16,402.19,64.11,0.6
1641600.0,6111.31,3412.0,2699.31,44.17,0.5
1645200.0,1832.29,558.84,1273.44,69.5,0.1
1648800.0,3298.1,828.88,2469.22,74.87,0.1
1652400.0,878.24,577.18,301.06,34.28,0.1
1656000.0,509.79,230.74,279.05,54.74,0.6
1659600.0,2890.94,845.22,2045.73,70.76,0.6
1663200.0,2618.97,1805.79,813.18,31.05,0.4
1666800.0,5712.87,4353.65,1359.22,23.79,0.8
1670400.0,6521.07,4385.02,2136.05,32.76,0.5
1674000.0,5953.14,2949.67,3003.47,50.45,0.4
1677600.0,474.86,143.14,331.73,69.86,0.1
1681200.0,2175.41,964.22,1211.19,55.68,0.5
1684800.0,4929.45,2255.66,2673.79,54.24,0.9
1688400.0,3386.07,2185.13,1200.94,35.47,0.6
1692000.0,888.67,137.84,750.83,84.49,0.1
1695600.0,5157.76,1081.24,4076.52,79.04,0.7
1699200.0,9347.23,5537.76,3809.46,40.76,0.6
1702800.0,1476.88,497.42,979.45,66.32,0.4
1706400.0,4796.25,3352.54,1443.71,30.1,0.6
1710000.0,5224.37,1074.04,4150.33,79.44,0.5
1713600.0,3379.14,624.67,2754.47,81.51,0.4
1717200.0,4749.68,2168.48,2581.2,54.34,0.3
1720800.0,5359.92,1212.71,4147.21,77.37,0.4
1724400.0,2272.13,398.66,1873.47,82.45,0.4
1728000.0,2167.88,708.27,1459.61,67.33,0.6
1731600.0,3178.4,1441.43,1736.97,54.65,0.5
1735200.0,1528.25,1267.92,260.32,17.03,0.6
1738800.0,2112.61,736.73,1375.87,65.13,0.1
1742400.0,2128.22,1124.53,1003.7,47.16,0.1
1746000.0,2510.41,623.76,1886.65,75.15,0.6
1749600.0,2567.98,1371.3,1196.68,46.6,0.5
1753200.0,4793.99,2382.48,2411.51,50.3,0.5
1756800.0,5167.15,4264.76,902.39,17.46,0.7
1760400.0,6035.86,5443.28,592.57,9.82,0.8
1764000.0,2998.5,1282.38,1716.12,57.23,0.1
1767600.0,961.09,665.45,295.65,30.76,0.6
1771200.0,3850.5,1443.16,2407.34,62.52,0.4
1774800.0,1402.8,589.57,813.23,57.97,0.6
1778400.0,5666.07,3229.22,2436.86,43.01,0.5
1782000.0,4121.58,1622.75,2498.83,60.63,0.8
1785600.0,5658.12,2999.96,2658.16,46.98,0.5
